woo_code,sap_code,name,city_name,state_code
CL_361,264,RANQUIL,CHILLAN,16
CL_362,219,RAUCO,CURICO,7
CL_363,395,RECOLETA,SANTIAGO,13
CL_364,303,RENAICO,ANGOL,9
CL_365,400,RENCA,SANTIAGO,13
CL_366,194,RENGO,RANCAGUA,6
CL_367,195,REQUINOA,RANCAGUA,6
CL_368,240,RETIRO,LINARES,7
CL_369,182,RINCONADA,LOS ANDES,5
CL_370,342,RIO BUENO,LA UNION,14
CL_371,228,RIO CLARO,TALCA,7
CL_372,140,RIO HURTADO,OVALLE,4
CL_373,378,RIO IBANEZ,RIO IBANEZ,11
CL_374,348,RIO NEGRO,OSORNO,10
CL_375,386,RIO VERDE,PUNTA ARENAS,12
CL_376,218,ROMERAL,CURICO,7
CL_377,320,SAAVEDRA,TEMUCO,9
CL_378,224,SAGRADA FAMILIA,CURICO,7
CL_379,142,SALAMANCA,ILLAPEL,4
CL_380,160,SAN ANTONIO,SAN ANTONIO,5
CL_381,442,SAN BERNARDO,SANTIAGO,13
CL_382,254,SAN CARLOS,SAN CARLOS,16
CL_383,226,SAN CLEMENTE,TALCA,7
CL_384,181,SAN ESTEBAN,LOS ANDES,5
CL_385,256,SAN FABIAN,CHILLAN,16
CL_386,173,SAN FELIPE,SAN FELIPE,5
CL_387,200,SAN FERNANDO,SAN FERNANDO,6
CL_388,387,SAN GREGORIO,PUNTA ARENAS,12
CL_389,259,SAN IGNACIO,CHILLAN,16
CL_390,242,SAN JAVIER,LINARES,7
CL_391,436,SAN JOAQUIN,SANTIAGO,13
CL_392,441,SAN JOSE DE MAIPO,SANTIAGO,13
CL_393,350,SAN JUAN DE LA COSTA,OSORNO,10
CL_394,430,SAN MIGUEL,SANTIAGO,13
CL_395,257,SAN NICOLAS,CHILLAN,16
CL_396,345,SAN PABLO,OSORNO,10
CL_397,419,SAN PEDRO,MELIPILLA,13
CL_398,120,SAN PEDRO DE ATACAMA,CALAMA,2
CL_399,276,SAN PEDRO DE LA PAZ,CONCEPCION,8
CL_400,234,SAN RAFAEL,TALCA,7
CL_401,433,SAN RAMON,SANTIAGO,13
CL_402,296,SAN ROSENDO,LOS ANGELES,8
CL_403,192,SAN VICENTE,RANCAGUA,6
CL_404,287,SANTA BARBARA,LOS ANGELES,8
